year	N	snow
1986	622	93
1987	720	57
1988	732	75
1989	860	24
1990	920	29
1991	1073	92
1992	1201	56
1993	1261	60
1994	1548	65
1995	1817	41
1996	2036	69
1997	2164	72
1998	2182	43
1999	2555	39
2000	2554	45
2001	2114	129
2002	2157	15
2003	2254	79
2004	2132	96
2005	2388	50
2006	2375	61
2007	2650	42
2008	3181	63
2009	1977	131
2010	1946	101
2011	1659	91
2012	1836	46
2013	2263	90
2014	1982	133
